discord channel,solvency category,address,name,symbol,decimals,chainId,extensions/superTokenInfo/type,extensions/superTokenInfo/underlyingTokenAddress,extensions/bridgeInfo/1/tokenAddress,extensions/bridgeInfo/10/tokenAddress,extensions/bridgeInfo/100/tokenAddress,extensions/bridgeInfo/137/tokenAddress,extensions/bridgeInfo/42161/tokenAddress,logoURI,tags/0,extensions/bridgeInfo/56/tokenAddress,extensions/bridgeInfo/43113/tokenAddress,extensions/bridgeInfo/5/tokenAddress,extensions/bridgeInfo/69/tokenAddress,extensions/bridgeInfo/80001/tokenAddress,extensions/bridgeInfo/421611/tokenAddress,tags/1,extensions/bridgeInfo/43114/tokenAddress
,C,0x867d46fd484358a6f25655a705aa6ad804e6c6eb,Dallor,DUS,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dus/icon.svg,underlying,,,,,,,,
,C,0x19ca69c66768b487d28226c0a60ab2b2aa8e5c5c,REX Shirt 2023,rexSHIRT,18,137,Pure,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/rexshirt/icon.svg,supertoken,,,,,,,,
,C,0x2e12d38c6aa87cb68ce96c044b9a68dd98233ceb,Super Dbeats Token,DBEATx,18,137,Wrapper,0x92e918ea7aa872f91bf7ec9bcd248a5920c9f3cb,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dbeat/icon.svg,supertoken,,,,,,,,
,C,0x92e918ea7aa872f91bf7ec9bcd248a5920c9f3cb,Dbeats Token,DBEAT,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dbeat/icon.svg,underlying,,,,,,,,
,C,0x3862c15cdc4c38517aa4c6f94197a93253502168,Super Sunny Jaycer Token,SUNNYx,18,137,Wrapper,0xd1d410db734d634414594898b39608b27f166aab,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/sunny/icon.svg,supertoken,,,,,,,,
,C,0xd1d410db734d634414594898b39608b27f166aab,Sunny Jaycer Token,SUNNY,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/sunny/icon.svg,underlying,,,,,,,,
,C,0x3d9cc088bd9357e5941b68d26d6d09254a69949d,Super MTA,MTAx,18,137,Wrapper,0xf501dd45a1198c2e1b5aef5314a68b9006d842e0,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/mta/icon.png,supertoken,,,,,,,,
,C,0xf501dd45a1198c2e1b5aef5314a68b9006d842e0,Meta (PoS),MTA,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/mta/icon.png,underlying,,,,,,,,
,C,0x513412fcd5e0da4bed9102017164b84c06e557d4,Super Dood,Doodx,18,137,Wrapper,0x8c36336211916c58860f1edf20b0f50ea66d8bd5,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dood/icon.png,supertoken,,,,,,,,
,C,0x8c36336211916c58860f1edf20b0f50ea66d8bd5,Doodle 4081,Dood,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dood/icon.png,underlying,,,,,,,,
,C,0x61a7b6f0a7737d9bd38fdeaf1d4160e16bf23043,SuperWork,WORKx,18,137,Wrapper,0x6002410dda2fb88b4d0dc3c1d562f7761191ea80,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/work/icon.png,supertoken,,,,,,,,
,C,0x6002410dda2fb88b4d0dc3c1d562f7761191ea80,The Employment Commons Work Token (PoS),WORK,18,137,,,,,0x6689a8f4fdad6712888682c9ce81b26762389f40,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/work/icon.png,supertoken,,,,,,,,
,C,0x76220628fc2847c41b14967a75f3093f6e56998a,Super Dog Biscuits,BSCTx,18,137,Wrapper,0x600e5f4920f90132725b43412d47a76bc2219f92,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/bsct/icon.svg,supertoken,,,,,,,,
,C,0x600e5f4920f90132725b43412d47a76bc2219f92,Dog Biscuits,BSCT,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/bsct/icon.svg,underlying,,,,,,,,
,C,0xa6810e06fb8c93b2c53c0d6415c885719cba6eb5,Super KHIZA,KHIZAx,18,137,Wrapper,0x25856d46748ee959f99a0fbbb5312c73473cb533,,,,,,,supertoken,,,,,,,,
,C,0x25856d46748ee959f99a0fbbb5312c73473cb533,Khiza DAO,KHIZA,18,137,,,,,,,,,underlying,,,,,,,,
,C,0xa794221d92d77490ff319e95da1461bdf2bd3953,TDLx,TDLx,18,137,Wrapper,0xcd1f2f1a1d1ba631a06b957db77bb9d7b13bf861,,,0x66e454105ae553cfa87ad4dc4cdf128c841fcd73,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/tdl/icon.svg,supertoken,,,0x0be89e17787c0ae021b5e4f84ae8444f900dd92c,,,,,
,C,0xcd1f2f1a1d1ba631a06b957db77bb9d7b13bf861,TDL Fake Token,TDL,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/tdl/icon.svg,underlying,,,,,,,,
,C,0xaff1ce7832a1c7655803533dab391920cafe467f,Super FLOAT,FLOATx,18,137,Wrapper,0xf0ae1efde60bab0a830673747138f12367858e8d,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/float/icon.svg,supertoken,,,,,,,,
,C,0xf0ae1efde60bab0a830673747138f12367858e8d,Float Protocol: FLOAT (PoS),FLOAT,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/float/icon.svg,underlying,,,,,,,,
,C,0xb7d60973cc27324dcae837d89d7bd9c5f15e3833,Super Slatan ROTI Token,ROTIx,18,137,Wrapper,0x13b4bd4c0719f9f46df35bfc234213b4df6e9b7c,,,,,,,supertoken,,,,,,,,
,C,0x13b4bd4c0719f9f46df35bfc234213b4df6e9b7c,Slatan ROTI Token,ROTI,18,137,,,,,,,,,underlying,,,,,,,,
